新书已经上传了，欢迎大家品鉴: https://www.xbiquge.bz/book/1151/40425913.html
老书的完结与新书: https://www.xbiquge.bz/book/1151/3199872.html
第六百七十八章 绕后开团的ADC！: https://www.xbiquge.bz/book/1151/792458.html
第六百七十九章 有一种秀，叫做艺术: https://www.xbiquge.bz/book/1151/792461.html
第六百八十章 拿下大龙: https://www.xbiquge.bz/book/1151/792464.html
第六百八十一章 破路: https://www.xbiquge.bz/book/1151/792467.html
第六百八十二章 绝命小龙团: https://www.xbiquge.bz/book/1151/792471.html
第六百八十三章 胜利之王冠: https://www.xbiquge.bz/book/1151/792474.html
第六百八十四章 第二局！: https://www.xbiquge.bz/book/1151/792476.html
第六百八十五章 奎因: https://www.xbiquge.bz/book/1151/792480.html
第六百八十六章 摒弃呼吸: https://www.xbiquge.bz/book/1151/792483.html
第六百八十七章 一血诞生: https://www.xbiquge.bz/book/1151/792485.html
第六百八十八章 意动: https://www.xbiquge.bz/book/1151/792488.html
第六百八十九章 插翅难逃: https://www.xbiquge.bz/book/1151/792491.html
第六百九十章 游走全场的鹰！: https://www.xbiquge.bz/book/1151/792494.html
第六百九十一章 超高的爆发: https://www.xbiquge.bz/book/1151/792499.html
第六百九十二章 节奏大师: https://www.xbiquge.bz/book/1151/792502.html
第六百九十三章 套路: https://www.xbiquge.bz/book/1151/792504.html
第六百九十四章 旋翔掠杀！: https://www.xbiquge.bz/book/1151/792506.html
第六百九十五章 横行: https://www.xbiquge.bz/book/1151/792508.html
第六百九十六章 阵容的优劣: https://www.xbiquge.bz/book/1151/792510.html
第六百九十七章 定胜负（200月票加更）: https://www.xbiquge.bz/book/1151/792511.html
第六百九十八章 誓杀奎因: https://www.xbiquge.bz/book/1151/792513.html
第六百九十九章 三杀妖姬: https://www.xbiquge.bz/book/1151/792517.html
第七百章 吹响号角: https://www.xbiquge.bz/book/1151/792519.html
第七零一 十年寒窗无人问，一朝成名天下知: https://www.xbiquge.bz/book/1151/792521.html
第七零二 我们是冠军！: https://www.xbiquge.bz/book/1151/792523.html
第七零三 一不小心拿了第一: https://www.xbiquge.bz/book/1151/792526.html
第七零四 此刻，我们才是世界之王: https://www.xbiquge.bz/book/1151/792528.html
第七零五章 回国: https://www.xbiquge.bz/book/1151/792530.html
第七零六 RG: https://www.xbiquge.bz/book/1151/792532.html
第七零七 直播: https://www.xbiquge.bz/book/1151/792533.html
第七零八章 压力: https://www.xbiquge.bz/book/1151/792534.html
第七零九 连连走砍，一路花开（求月票）: https://www.xbiquge.bz/book/1151/792536.html
第七一零 兰博打野 毁天灭地（第一更）: https://www.xbiquge.bz/book/1151/792538.html
第七一一 尝试（第二更）: https://www.xbiquge.bz/book/1151/792540.html
第七一二 鲟龙诀（第三更）: https://www.xbiquge.bz/book/1151/792543.html
第七一三 小楠（300票加更！）: https://www.xbiquge.bz/book/1151/792548.html
第七一四 豹女出场（第一更）: https://www.xbiquge.bz/book/1151/792550.html
第七一五 支配（第二更）: https://www.xbiquge.bz/book/1151/792553.html
第七一六 玫瑰猎豹（第三更）: https://www.xbiquge.bz/book/1151/792556.html
第七一七 豹女养猪（月票加更）: https://www.xbiquge.bz/book/1151/792559.html
第七一八 夺命之镖（第一更）: https://www.xbiquge.bz/book/1151/792562.html
第七一九 横行无忌（第二更）: https://www.xbiquge.bz/book/1151/792567.html
第七二零 杀人拿龙（第三更）: https://www.xbiquge.bz/book/1151/792569.html
第七二一 生死考验（月票！）: https://www.xbiquge.bz/book/1151/792572.html
新的一月，新的征程！求月票: https://www.xbiquge.bz/book/1151/792575.html
第七二二 伤害碾压意识: https://www.xbiquge.bz/book/1151/792577.html
第七二三 蚕食: https://www.xbiquge.bz/book/1151/792581.html
第七二四 大龙（四百票加更）: https://www.xbiquge.bz/book/1151/792584.html
第七二五 拿下首局！: https://www.xbiquge.bz/book/1151/792587.html
第七二六 第二局: https://www.xbiquge.bz/book/1151/792590.html
第七二七 首秀，放逐之刃！: https://www.xbiquge.bz/book/1151/792593.html
第七二八 换线与速推: https://www.xbiquge.bz/book/1151/792596.html
第七二九 断剑重铸，骑士袭来: https://www.xbiquge.bz/book/1151/792599.html
第七三零 半血消融: https://www.xbiquge.bz/book/1151/792601.html
第七三一 双传送: https://www.xbiquge.bz/book/1151/792603.html
第七三二 疾风剑斩: https://www.xbiquge.bz/book/1151/792607.html
第七三三 小龙争夺: https://www.xbiquge.bz/book/1151/792610.html
第七三四 惊人先手: https://www.xbiquge.bz/book/1151/792613.html
第七三五 饮恨！: https://www.xbiquge.bz/book/1151/792616.html
第七三六 惊险: https://www.xbiquge.bz/book/1151/792619.html
第七三七 诡异绕后: https://www.xbiquge.bz/book/1151/792622.html
第七三八 双杀卢锡安: https://www.xbiquge.bz/book/1151/792625.html
第七三九 心理之战: https://www.xbiquge.bz/book/1151/792629.html
第七四零 龙神之威岂是浪得虚名: https://www.xbiquge.bz/book/1151/792631.html
发一个单章，求几张月票！: https://www.xbiquge.bz/book/1151/792634.html
第七四一 三杀瑞文: https://www.xbiquge.bz/book/1151/792637.html
第七四二 冠军，依然是冠军！: https://www.xbiquge.bz/book/1151/792638.html
第七四三 LCK的变动: https://www.xbiquge.bz/book/1151/792639.html
第七四三 雄师苏醒: https://www.xbiquge.bz/book/1151/792640.html
第七四四 第四期全球职业选手排行榜: https://www.xbiquge.bz/book/1151/792643.html
第七四五 并列第一: https://www.xbiquge.bz/book/1151/792644.html
第七四六 常规赛收官之战: https://www.xbiquge.bz/book/1151/792645.html
第七四七 拿下胜利: https://www.xbiquge.bz/book/1151/792647.html
第七四八 再现全球: https://www.xbiquge.bz/book/1151/792648.html
第七四九 常规赛结束: https://www.xbiquge.bz/book/1151/792650.html
第七五零 回家: https://www.xbiquge.bz/book/1151/792653.html
今天先两章吧: https://www.xbiquge.bz/book/1151/792655.html
第七五一 满月酒: https://www.xbiquge.bz/book/1151/792656.html
第七五二 解释: https://www.xbiquge.bz/book/1151/792659.html
第七五三 返程: https://www.xbiquge.bz/book/1151/792662.html
第七五四 季后赛开始: https://www.xbiquge.bz/book/1151/792665.html
第七五五 3:2与3:0: https://www.xbiquge.bz/book/1151/792672.html
第七五六 半决赛: https://www.xbiquge.bz/book/1151/792675.html
第七五七 RG进军决赛: https://www.xbiquge.bz/book/1151/792676.html
第七五八 终究开始: https://www.xbiquge.bz/book/1151/1436911.html
第七五九 极端针对: https://www.xbiquge.bz/book/1151/1436913.html
第七六零 谁是中单？谁是打野？: https://www.xbiquge.bz/book/1151/1436914.html
第七六一 开局: https://www.xbiquge.bz/book/1151/1717417.html
第七六二 换线与换塔: https://www.xbiquge.bz/book/1151/1717424.html
第七六三 我的小鱼人，到六了: https://www.xbiquge.bz/book/1151/1717430.html
第七六四 完美: https://www.xbiquge.bz/book/1151/2094770.html
第七六五 一血与二血: https://www.xbiquge.bz/book/1151/2094771.html
第七六六 混战将起: https://www.xbiquge.bz/book/1151/2094772.html
第七六七 2-1的鱼人: https://www.xbiquge.bz/book/1151/2109244.html
第七六八 杀人: https://www.xbiquge.bz/book/1151/2116196.html
第七六九 二次进场，终杀男枪: https://www.xbiquge.bz/book/1151/2118744.html
第七七零 第三条小龙: https://www.xbiquge.bz/book/1151/2125229.html
第七七一 一鱼三吃: https://www.xbiquge.bz/book/1151/2125230.html
第七七二 不死鱼人: https://www.xbiquge.bz/book/1151/2126943.html
第七七三 大龙归属: https://www.xbiquge.bz/book/1151/2126944.html
第七七四 绝地一波: https://www.xbiquge.bz/book/1151/2126945.html
第七七五 拿下第一场: https://www.xbiquge.bz/book/1151/2130483.html
第七七六 RG的一抢: https://www.xbiquge.bz/book/1151/2130528.html
第七七七 底牌尽出！: https://www.xbiquge.bz/book/1151/2132681.html
第七七八 精心设置的一血！: https://www.xbiquge.bz/book/1151/2133638.html
第七七九 暴风骤雨: https://www.xbiquge.bz/book/1151/2137479.html
第七八零 双杀！: https://www.xbiquge.bz/book/1151/2138801.html
第七八一 能否逆转？: https://www.xbiquge.bz/book/1151/2139466.html
第七八二 反打！: https://www.xbiquge.bz/book/1151/2143475.html
第七八三 第三条小龙团: https://www.xbiquge.bz/book/1151/2144383.html
第七八四 一波0换3: https://www.xbiquge.bz/book/1151/2145687.html
第七八五 致命一击: https://www.xbiquge.bz/book/1151/2149352.html
三千会继续努力，感谢大家一直以来的支持！: https://www.xbiquge.bz/book/1151/2153685.html
第七八六 致命晕眩，气势如虹: https://www.xbiquge.bz/book/1151/2156046.html
第七八七 坍塌: https://www.xbiquge.bz/book/1151/2157704.html
第七八八 五杀女警: https://www.xbiquge.bz/book/1151/2158727.html
第七八九 结束还是开始？: https://www.xbiquge.bz/book/1151/2162204.html
第七九零 生死之战: https://www.xbiquge.bz/book/1151/2163802.html
第七九一 恐怖的一级团实力: https://www.xbiquge.bz/book/1151/2164445.html
第七九二 强行对线: https://www.xbiquge.bz/book/1151/2167643.html
第七九三 2-0: https://www.xbiquge.bz/book/1151/2169318.html
发一个单章，求几张月票: https://www.xbiquge.bz/book/1151/2170253.html
第七九四 极限配合: https://www.xbiquge.bz/book/1151/2170255.html
旧群的解散与新群的建立: https://www.xbiquge.bz/book/1151/2175707.html
第七九五 盲区: https://www.xbiquge.bz/book/1151/2180381.html
第七九六 BOSS: https://www.xbiquge.bz/book/1151/2183059.html
第七九七 杀人野区中: https://www.xbiquge.bz/book/1151/2183060.html
第七九八 上野套餐？: https://www.xbiquge.bz/book/1151/2184792.html
第七九九 双闪换头: https://www.xbiquge.bz/book/1151/2186500.html
第八零零 小龙给你 命给我！: https://www.xbiquge.bz/book/1151/2186668.html
第八零一 杀人拿塔一换四: https://www.xbiquge.bz/book/1151/2192711.html
第八零二 联手制裁？（求月票！）: https://www.xbiquge.bz/book/1151/2192712.html
第八零三 反杀与疑团？（求月票）: https://www.xbiquge.bz/book/1151/2192713.html
第八零四 疯狂掠夺: https://www.xbiquge.bz/book/1151/2192714.html
第八零五 突然死亡: https://www.xbiquge.bz/book/1151/2195373.html
第八零六 夺冠！: https://www.xbiquge.bz/book/1151/2196715.html
第八零七 只见新人笑，难闻旧人哭: https://www.xbiquge.bz/book/1151/2197751.html
第八零八 前往洛杉矶（第二更）: https://www.xbiquge.bz/book/1151/2200371.html
第八零九章 MSI大赛之前: https://www.xbiquge.bz/book/1151/2201496.html
第八一零 狂言: https://www.xbiquge.bz/book/1151/2202200.html
第八一一 终究到来: https://www.xbiquge.bz/book/1151/2209830.html
第八一二 揭幕: https://www.xbiquge.bz/book/1151/2209831.html
第八一三 GG战队对阵GET！: https://www.xbiquge.bz/book/1151/2209832.html
第八一四 秘密阵容露出水面: https://www.xbiquge.bz/book/1151/2209833.html
第八一五 老司机与德莱文（求月票）: https://www.xbiquge.bz/book/1151/2209834.html
第八一六 逃跑也是入侵: https://www.xbiquge.bz/book/1151/2209835.html
第八一七 舍与得: https://www.xbiquge.bz/book/1151/2211109.html
第八一八 单杀与双杀: https://www.xbiquge.bz/book/1151/2221524.html
第八一九 豹女-崩！: https://www.xbiquge.bz/book/1151/2221525.html
第八二零 卡萨丁：亡: https://www.xbiquge.bz/book/1151/2221526.html
第八二一 强杀: https://www.xbiquge.bz/book/1151/2221527.html
第八二二 必死无疑？: https://www.xbiquge.bz/book/1151/2223765.html
第八二三 杀人红尘中 脱身白刃里: https://www.xbiquge.bz/book/1151/2223766.html
第八二四 老司机终究开车: https://www.xbiquge.bz/book/1151/2226898.html
第八二五 可惜没有杀人刀: https://www.xbiquge.bz/book/1151/2239138.html
第八二六 五打四，难求一胜: https://www.xbiquge.bz/book/1151/2239139.html
第八二七 希望他们不要虐的太狠: https://www.xbiquge.bz/book/1151/2239140.html
第八二八 虐泉的开幕式: https://www.xbiquge.bz/book/1151/2239141.html
第八二九 胜利: https://www.xbiquge.bz/book/1151/2239142.html
第八三零 STT对决FLW！: https://www.xbiquge.bz/book/1151/2239143.html
第八三一 STT要败？: https://www.xbiquge.bz/book/1151/2239144.html
第八三二 惊天偷杀: https://www.xbiquge.bz/book/1151/2241475.html
第八三三 翻盘与期待！: https://www.xbiquge.bz/book/1151/2243173.html
第八三四 该我们了！: https://www.xbiquge.bz/book/1151/2246801.html
第八三五 巅峰对决: https://www.xbiquge.bz/book/1151/2248867.html
第八三六 MSI首秀，扫地僧！: https://www.xbiquge.bz/book/1151/2254595.html
第八三七 二级就要出手: https://www.xbiquge.bz/book/1151/2255769.html
第八三八 有所行动: https://www.xbiquge.bz/book/1151/2260049.html
第八三九 目标，小鱼人！（求月票）: https://www.xbiquge.bz/book/1151/2260050.html
第八四零 一血诞生(求月票）: https://www.xbiquge.bz/book/1151/2261471.html
第八零五 没有闪现的，是咸鱼！: https://www.xbiquge.bz/book/1151/2264082.html
第八零六 杀人割草如一物: https://www.xbiquge.bz/book/1151/2268124.html
第八零七 梅贾的窃魂卷: https://www.xbiquge.bz/book/1151/2268125.html
第八四四 梅贾的窃魂卷（2）: https://www.xbiquge.bz/book/1151/2269218.html
第八四五 GANK与反蹲: https://www.xbiquge.bz/book/1151/2272051.html
第八四六 卖友求荣？（求月票）: https://www.xbiquge.bz/book/1151/2273653.html
第八四七 龙与英雄: https://www.xbiquge.bz/book/1151/2273654.html
第八四八 滴血: https://www.xbiquge.bz/book/1151/2277993.html
第八四九 限制FOKER: https://www.xbiquge.bz/book/1151/2277994.html
第八五零 抱团: https://www.xbiquge.bz/book/1151/2277995.html
第八五一 BLAN: https://www.xbiquge.bz/book/1151/2292285.html
第八五二 至关重要: https://www.xbiquge.bz/book/1151/2292286.html
第八五三 归属: https://www.xbiquge.bz/book/1151/2292287.html
第八五四 纳什男爵？: https://www.xbiquge.bz/book/1151/2292288.html
第八五五 看不清的操作: https://www.xbiquge.bz/book/1151/2292289.html
第八五六 抉择: https://www.xbiquge.bz/book/1151/2292290.html
第八五七 难以招架: https://www.xbiquge.bz/book/1151/2292291.html
第八五八 占尽优势: https://www.xbiquge.bz/book/1151/2435825.html
第八五九 终结比赛？: https://www.xbiquge.bz/book/1151/2435826.html
第八六零 最强之争: https://www.xbiquge.bz/book/1151/2451506.html
第八六一 保持不败！: https://www.xbiquge.bz/book/1151/2452419.html
第八六二 榜首之争: https://www.xbiquge.bz/book/1151/2467362.html
第八六三 赫卡里姆！: https://www.xbiquge.bz/book/1151/2467363.html
第八六四 奶牛战术: https://www.xbiquge.bz/book/1151/2467364.html
第八六五 这种打野风格？（求月票）: https://www.xbiquge.bz/book/1151/2467365.html
第八六六 走投无路的雷克赛: https://www.xbiquge.bz/book/1151/2467366.html
第八六七 绝望铁蹄: https://www.xbiquge.bz/book/1151/2467367.html
第八六八 领先两级的打野: https://www.xbiquge.bz/book/1151/2467368.html
第八六九 一脚断人魂: https://www.xbiquge.bz/book/1151/2467369.html
第八七零 抱团模式（第三更）: https://www.xbiquge.bz/book/1151/2467370.html
第八七一 龟缩与掠夺: https://www.xbiquge.bz/book/1151/2467371.html
第八七二 大龙横推: https://www.xbiquge.bz/book/1151/2467372.html
第八七三 推塔与屠杀: https://www.xbiquge.bz/book/1151/2467373.html
第八七四 万众瞩目: https://www.xbiquge.bz/book/1151/2467374.html
第八七五 颠覆性的比赛（求月票）: https://www.xbiquge.bz/book/1151/2467375.html
第八七六 模仿: https://www.xbiquge.bz/book/1151/2476859.html
第八七七 惊艳与破灭: https://www.xbiquge.bz/book/1151/2476860.html
第八七八 故意的六神装？: https://www.xbiquge.bz/book/1151/2476861.html
第八七九 豪取四连胜: https://www.xbiquge.bz/book/1151/2476862.html
第八八零 第一轮收官之战: https://www.xbiquge.bz/book/1151/2476863.html
第八八一 隐藏: https://www.xbiquge.bz/book/1151/2476864.html
第八八二 辛巴与跳跳虎: https://www.xbiquge.bz/book/1151/2476865.html
第八八三 亚索与劫: https://www.xbiquge.bz/book/1151/2476866.html
第八八四 袭杀: https://www.xbiquge.bz/book/1151/2502064.html
第八八五 AP狮: https://www.xbiquge.bz/book/1151/2502065.html
第八八六 醒悟的向强: https://www.xbiquge.bz/book/1151/2502066.html
第八八七 狩猎律动！: https://www.xbiquge.bz/book/1151/2502067.html
新的一月，新的征程，求月票！: https://www.xbiquge.bz/book/1151/2502068.html
第八八八 涌动（求月票）: https://www.xbiquge.bz/book/1151/2502069.html
第八八九 第一个出大棒的狮子狗: https://www.xbiquge.bz/book/1151/2508184.html
第八九零 来自空气深处的感叹号！: https://www.xbiquge.bz/book/1151/2508185.html
第八九一 大杀特杀（求月票）: https://www.xbiquge.bz/book/1151/2508186.html
第八九二 狂暴的狮子狗: https://www.xbiquge.bz/book/1151/2522026.html
第八九三 开不出大招的千珏: https://www.xbiquge.bz/book/1151/2522027.html
第八九四 爆炸连W: https://www.xbiquge.bz/book/1151/2522028.html
第八九五 大龙与逼进: https://www.xbiquge.bz/book/1151/2522029.html
第八九六 杀神狮: https://www.xbiquge.bz/book/1151/2522030.html
第八九七 首轮结束: https://www.xbiquge.bz/book/1151/2532142.html
第八九八 提莫: https://www.xbiquge.bz/book/1151/2532143.html
第八九九 提莫打野？真的假的？: https://www.xbiquge.bz/book/1151/2532144.html
第九零零 第二战: https://www.xbiquge.bz/book/1151/2532145.html
第九零一 真—提莫无双！: https://www.xbiquge.bz/book/1151/2532146.html
第九零二 肉.弹冲击: https://www.xbiquge.bz/book/1151/2532147.html
第九零三 提莫拿下的一血: https://www.xbiquge.bz/book/1151/2538642.html
第九零四 提莫队长，正在报道！: https://www.xbiquge.bz/book/1151/2538643.html
第九零五 六级: https://www.xbiquge.bz/book/1151/2538644.html
第九零六 蘑菇: https://www.xbiquge.bz/book/1151/2538645.html
第九零七 运气？: https://www.xbiquge.bz/book/1151/2538646.html
第九零八 杀人拿塔 优势不败: https://www.xbiquge.bz/book/1151/2541666.html
第九零九 永不停歇的轰炸: https://www.xbiquge.bz/book/1151/2541667.html
第三更已发，求两张月票: https://www.xbiquge.bz/book/1151/2545511.html
第九一零 统治比赛的……提莫队长: https://www.xbiquge.bz/book/1151/2545512.html
第九一一 终结之战: https://www.xbiquge.bz/book/1151/2545513.html
第九一二 MVP—提莫！: https://www.xbiquge.bz/book/1151/2549529.html
第九一三 豪取七连胜: https://www.xbiquge.bz/book/1151/2549530.html
第九一四 对战FLW: https://www.xbiquge.bz/book/1151/2550209.html
第九一五 倒数第二场: https://www.xbiquge.bz/book/1151/2555358.html
第九一六 扳选进行: https://www.xbiquge.bz/book/1151/2555359.html
第九一七 发条与皇子: https://www.xbiquge.bz/book/1151/2555360.html
第九一八 中野辅，三人连动！: https://www.xbiquge.bz/book/1151/2555361.html
第九一九 三人行，GANK必成！: https://www.xbiquge.bz/book/1151/2557222.html
第九二零 抢龙与开团: https://www.xbiquge.bz/book/1151/2570678.html
第九二一 神来之笔: https://www.xbiquge.bz/book/1151/2570679.html
第九二二 事不过三！: https://www.xbiquge.bz/book/1151/2570680.html
第九二三 击杀三次！: https://www.xbiquge.bz/book/1151/2570681.html
第九二四 方天画戟之威！: https://www.xbiquge.bz/book/1151/2570682.html
第九二五 强杀: https://www.xbiquge.bz/book/1151/2570683.html
第九二六 大网拉开: https://www.xbiquge.bz/book/1151/2570684.html
第九二七 如艺术一般的走砍: https://www.xbiquge.bz/book/1151/2570685.html
第九二八 大龙与杀人: https://www.xbiquge.bz/book/1151/2573518.html
第九二九 就是动龙: https://www.xbiquge.bz/book/1151/2578449.html
第九三零 高山仰止！: https://www.xbiquge.bz/book/1151/2578450.html
第九三一 小组赛最后一战: https://www.xbiquge.bz/book/1151/2578451.html
第九三二 再遇STT: https://www.xbiquge.bz/book/1151/2579939.html
第九三三 一级团！: https://www.xbiquge.bz/book/1151/2579940.html
第九三四 一血诞生: https://www.xbiquge.bz/book/1151/2579969.html
第九三五 见缝插针: https://www.xbiquge.bz/book/1151/2583864.html
第九三六 畅快淋漓的回击: https://www.xbiquge.bz/book/1151/2583865.html
第九三七 疾风骤雨的节奏: https://www.xbiquge.bz/book/1151/2585891.html
第九三八 马与豹: https://www.xbiquge.bz/book/1151/2589596.html
第九三九 一换一的团战: https://www.xbiquge.bz/book/1151/2589597.html
第九四零 POKE与一波: https://www.xbiquge.bz/book/1151/2589598.html
第九四一 一人换一龙: https://www.xbiquge.bz/book/1151/2591854.html
第九四二 形势: https://www.xbiquge.bz/book/1151/2591922.html
第九四三 秒杀的鱼人: https://www.xbiquge.bz/book/1151/2594608.html
第九四四 最为激烈的厮杀: https://www.xbiquge.bz/book/1151/2598429.html
第九四五 极限之战: https://www.xbiquge.bz/book/1151/2598430.html
第九四六 第三条小龙: https://www.xbiquge.bz/book/1151/2598431.html
第九四七 不可思议（求月票！）: https://www.xbiquge.bz/book/1151/2598432.html
第九四八 四龙刷新！（求月票）: https://www.xbiquge.bz/book/1151/2602372.html
第九四九 定胜负: https://www.xbiquge.bz/book/1151/2602373.html
第九五零 大龙横推！: https://www.xbiquge.bz/book/1151/2602374.html
第九五一 胜败: https://www.xbiquge.bz/book/1151/2603331.html
第九五二 淘汰赛开始，GG对阵FLW: https://www.xbiquge.bz/book/1151/2605748.html
第九五三 STT二代目（求月票）: https://www.xbiquge.bz/book/1151/2609801.html
第九五四 三级发难: https://www.xbiquge.bz/book/1151/2609802.html
第九五五 激烈厮杀: https://www.xbiquge.bz/book/1151/2609803.html
第九五六 十分钟五个人头: https://www.xbiquge.bz/book/1151/2614972.html
第九五七 连破三塔: https://www.xbiquge.bz/book/1151/2614973.html
第九五八 绕后的屠杀（求月票）: https://www.xbiquge.bz/book/1151/2615582.html
第九五九 拿下比赛: https://www.xbiquge.bz/book/1151/2627735.html
第九六零 红色博弈！: https://www.xbiquge.bz/book/1151/2627736.html
第九六一 第一波厮杀！: https://www.xbiquge.bz/book/1151/2627737.html
第九六二 越塔击杀！（求月票）: https://www.xbiquge.bz/book/1151/2627738.html
第九六三 爆炸男枪（内附新书讨论群）: https://www.xbiquge.bz/book/1151/2627739.html
第九六四 雷电法王！（上一章群写错了，汗）: https://www.xbiquge.bz/book/1151/2634184.html
第九六五 三杀男枪: https://www.xbiquge.bz/book/1151/2634185.html
第九六六 强大的GG战队！: https://www.xbiquge.bz/book/1151/2634186.html
第九六七 拿龙与破高地: https://www.xbiquge.bz/book/1151/2642251.html
第九六八 一步之遥！: https://www.xbiquge.bz/book/1151/2642252.html
第九六九 最终的对决？（求票）: https://www.xbiquge.bz/book/1151/2642253.html
第九七零 一血诞生: https://www.xbiquge.bz/book/1151/2642254.html
第九七一 豹女的一镖: https://www.xbiquge.bz/book/1151/2650961.html
第九七二 又是一波节奏: https://www.xbiquge.bz/book/1151/2650962.html
第九七三 围杀与救赎: https://www.xbiquge.bz/book/1151/2650963.html
第九七四 收尾模式: https://www.xbiquge.bz/book/1151/2668085.html
第九七五 三路外塔全破: https://www.xbiquge.bz/book/1151/2668087.html
第九七六 大龙: https://www.xbiquge.bz/book/1151/2668088.html
第九七七 3-0横扫，挺进总决赛: https://www.xbiquge.bz/book/1151/2668089.html
第九七八 STT和LG: https://www.xbiquge.bz/book/1151/2668090.html
第九七九 一波团: https://www.xbiquge.bz/book/1151/2668091.html
第九八零 2-0: https://www.xbiquge.bz/book/1151/2675016.html
第九八一 最终之战: https://www.xbiquge.bz/book/1151/2675017.html
第九八二 STT晋级总决赛: https://www.xbiquge.bz/book/1151/2675563.html
第九八三 冠军之争: https://www.xbiquge.bz/book/1151/2680480.html
第九八四 最终对决！: https://www.xbiquge.bz/book/1151/2680481.html
第九八五 六级之前的GANK: https://www.xbiquge.bz/book/1151/2680482.html
第九八六 终于到来的第一滴血（更新迟了，不好意思）: https://www.xbiquge.bz/book/1151/2680483.html
第九八七 博弈: https://www.xbiquge.bz/book/1151/2682591.html
第九八八 遭遇之战！: https://www.xbiquge.bz/book/1151/2684069.html
第九八九 起势！: https://www.xbiquge.bz/book/1151/2684070.html
第九九零 上单传送了: https://www.xbiquge.bz/book/1151/2688219.html
第九九一 关键一脚: https://www.xbiquge.bz/book/1151/2699121.html
第九九二 ECHO~: https://www.xbiquge.bz/book/1151/2699122.html
第九九三 持续扩大的优势: https://www.xbiquge.bz/book/1151/2699123.html
第九九四 1换3: https://www.xbiquge.bz/book/1151/2704382.html
第九九五 大龙与高地: https://www.xbiquge.bz/book/1151/2704383.html
第九九六 反击: https://www.xbiquge.bz/book/1151/2704384.html
第九九七 天大优势: https://www.xbiquge.bz/book/1151/2709025.html
第九九八 拿下第一场: https://www.xbiquge.bz/book/1151/2709026.html
第九九九 总决赛场上的剑圣: https://www.xbiquge.bz/book/1151/2715138.html
第一千章 STT的蠢蠢欲动: https://www.xbiquge.bz/book/1151/2715139.html
第千零一章 First-Blood！: https://www.xbiquge.bz/book/1151/2721015.html
第千零二章 蜘蛛授首: https://www.xbiquge.bz/book/1151/2721016.html
第千零三章 把握局势: https://www.xbiquge.bz/book/1151/2721017.html
第千零四章 又是中路: https://www.xbiquge.bz/book/1151/2721018.html
第千零五章 越塔？: https://www.xbiquge.bz/book/1151/2724168.html
第千零六章 推中的契机: https://www.xbiquge.bz/book/1151/2724169.html
第千零七章 嗡……: https://www.xbiquge.bz/book/1151/2726905.html
第千零八章 疯狗剑圣: https://www.xbiquge.bz/book/1151/2726906.html
第千零九章 搏？: https://www.xbiquge.bz/book/1151/2731372.html
第一千零一章 Double Kill ！: https://www.xbiquge.bz/book/1151/2731373.html
第一千零二章 五杀剑圣！: https://www.xbiquge.bz/book/1151/2738908.html
第一千零三章 2-0: https://www.xbiquge.bz/book/1151/2738909.html
第一千零四章 生死之战: https://www.xbiquge.bz/book/1151/2738910.html
第一千零五章 齐天大圣——孙悟空: https://www.xbiquge.bz/book/1151/2749846.html
第一千零六章 GANK: https://www.xbiquge.bz/book/1151/2749847.html
第一千零七章 回马枪: https://www.xbiquge.bz/book/1151/2749848.html
第一千零八章 不足百血: https://www.xbiquge.bz/book/1151/2764644.html
第一千零九章 六级: https://www.xbiquge.bz/book/1151/2764645.html
第一千零一十章 动手: https://www.xbiquge.bz/book/1151/2764646.html
第千零一十一章 双杀: https://www.xbiquge.bz/book/1151/2764647.html
第千零一十二章 入侵与围剿: https://www.xbiquge.bz/book/1151/2766201.html
第一千零一十三章 关键的一路: https://www.xbiquge.bz/book/1151/2766785.html
第一千零一十四章 越塔: https://www.xbiquge.bz/book/1151/3199835.html
第一千零一十五章 埋伏: https://www.xbiquge.bz/book/1151/3199838.html
第一千零一十六章 最强水准: https://www.xbiquge.bz/book/1151/3199843.html
第一千零一十七章 拆中: https://www.xbiquge.bz/book/1151/3199848.html
第一千零一十八章 大龙: https://www.xbiquge.bz/book/1151/3199853.html
第一千零一十九章 难以阻挡: https://www.xbiquge.bz/book/1151/3199862.html
第一千零二十章 世界之巅: https://www.xbiquge.bz/book/1151/3199867.html
老书的完结与新书: https://www.xbiquge.bz/book/1151/3199872.html
新书已经上传了，欢迎大家品鉴: https://www.xbiquge.bz/book/1151/40425913.html
