新书《恭喜你被逮捕了》！！！: https://www.xbiquge.bz/book/51654/40671895.html
新书《我在灰雾时代稳健加点》: https://www.xbiquge.bz/book/51654/40671894.html
完本感言！: https://www.xbiquge.bz/book/51654/40671893.html
第五百七十五章 神，从未离开！（3500）: https://www.xbiquge.bz/book/51654/35724571.html
第五百七十六章 峰哥的冠军拼图: https://www.xbiquge.bz/book/51654/35729740.html
第五百七十七章 只不过有亿一点点感觉: https://www.xbiquge.bz/book/51654/35729749.html
第五百七十八章 搬起石头砸自己？: https://www.xbiquge.bz/book/51654/35733766.html
第五百七十九章 没我峰哥内味儿: https://www.xbiquge.bz/book/51654/35733768.html
第五百八十章 峰哥看了直呼内行！: https://www.xbiquge.bz/book/51654/35737987.html
第五百八十一章 诡术圣枪，一场比赛两个妖姬？: https://www.xbiquge.bz/book/51654/35737988.html
第五百八十二章 我这真学不会！（4170）: https://www.xbiquge.bz/book/51654/35741732.html
第五百八十三章 偷男你来了？: https://www.xbiquge.bz/book/51654/35745454.html
第五百八十四章 最后的搓澡工: https://www.xbiquge.bz/book/51654/35745455.html
第五百八十五章 屡败屡战的峰哥！: https://www.xbiquge.bz/book/51654/35750494.html
第五百八十六章 开宗立派？: https://www.xbiquge.bz/book/51654/35750495.html
第五百八十七章 力弱饭否？: https://www.xbiquge.bz/book/51654/35754970.html
第五百八十八章 有辆86上山了！: https://www.xbiquge.bz/book/51654/35754971.html
第五百八十九章 我不要做人了！（3000）: https://www.xbiquge.bz/book/51654/35758927.html
第五百九十章 你的R就是我的R: https://www.xbiquge.bz/book/51654/35764240.html
第五百九十一章 86一响，爹妈白养: https://www.xbiquge.bz/book/51654/35764241.html
第五百九十二章 半决落幕，真正的大荒星陨！（3205）: https://www.xbiquge.bz/book/51654/35770620.html
第五百九十三章 一般人可能不太聊得动: https://www.xbiquge.bz/book/51654/35774577.html
第五百九十四章 那个男人，归位！: https://www.xbiquge.bz/book/51654/35774578.html
第五百九十五章 大爱无疆的峰哥: https://www.xbiquge.bz/book/51654/35792738.html
第五百九十六章 不一样的赛前垃圾话: https://www.xbiquge.bz/book/51654/35792739.html
第五百九十七章 上路靠躺我峰哥: https://www.xbiquge.bz/book/51654/35800638.html
第五百九十八章 羁绊成型！（上）: https://www.xbiquge.bz/book/51654/35800639.html
第五百九十九章 羁绊成型！（下）: https://www.xbiquge.bz/book/51654/35800640.html
第六百章 飘闪！（第四更）: https://www.xbiquge.bz/book/51654/35800641.html
第六百零一章 人死鸟朝天！ （4800）: https://www.xbiquge.bz/book/51654/35804956.html
第六百零二章 只见轮子不见M？: https://www.xbiquge.bz/book/51654/35809153.html
第六百零三章 骑兵连！冲锋！！！: https://www.xbiquge.bz/book/51654/35809154.html
第六百零四章 当年的院长和孤儿 （5600）: https://www.xbiquge.bz/book/51654/35814421.html
第六百零五章 雾生岸边草: https://www.xbiquge.bz/book/51654/35818596.html
第六百零六章 就你叫霞洛啊？: https://www.xbiquge.bz/book/51654/35818597.html
第六百零七章 霞洛特烦恼: https://www.xbiquge.bz/book/51654/35822659.html
第六百零八章 戴先生，你看到了吗？: https://www.xbiquge.bz/book/51654/35822660.html
第六百零九章 漏网的虎纹鲨鱼！: https://www.xbiquge.bz/book/51654/35829283.html
第六百一十章 全员分奴，首战告捷！: https://www.xbiquge.bz/book/51654/35829284.html
第六百一十一章 胜利，失利，不一样的道路（4600）: https://www.xbiquge.bz/book/51654/35838302.html
第六百一十二章 火烧峡谷？（4700端午安康）: https://www.xbiquge.bz/book/51654/35842764.html
第六百一十三章 这杰斯可太丢人了！: https://www.xbiquge.bz/book/51654/35846544.html
第六百一十四章 这辈子不可能学峰哥的: https://www.xbiquge.bz/book/51654/35846545.html
第六百一十五章 火炎焱燚: https://www.xbiquge.bz/book/51654/35851155.html
第六百一十六章 要我一直笑吗？: https://www.xbiquge.bz/book/51654/35866601.html
第六百一十七章 用屁股迎合版本的男人（二合一）: https://www.xbiquge.bz/book/51654/35866602.html
第六百一十八章 二二三四，再来一次: https://www.xbiquge.bz/book/51654/35870727.html
第六百一十九章 出点肉就想上天？: https://www.xbiquge.bz/book/51654/35870728.html
第六百二十章 三英战马: https://www.xbiquge.bz/book/51654/35874824.html
第六百二十一章 我峰子哥没有K头！: https://www.xbiquge.bz/book/51654/35874834.html
第六百二十二章 大河决堤的攻势: https://www.xbiquge.bz/book/51654/35882733.html
第六百二十三章 赛点局，能赢的路子: https://www.xbiquge.bz/book/51654/35882734.html
第六百二十四章 第十层的选择！（4400）: https://www.xbiquge.bz/book/51654/35890286.html
第六百二十五章 别和峰哥硬碰硬: https://www.xbiquge.bz/book/51654/35895304.html
第六百二十六章 恶心的神: https://www.xbiquge.bz/book/51654/35895305.html
第六百二十七章 顺藤摸瓜，谁才是瓜？: https://www.xbiquge.bz/book/51654/35902016.html
第六百二十八章 极致乱秀！: https://www.xbiquge.bz/book/51654/35902017.html
第六百二十九章 科学的尽头是峰学 （4700）: https://www.xbiquge.bz/book/51654/35908490.html
第六百三十章 二次元的召唤？: https://www.xbiquge.bz/book/51654/35915552.html
第六百三十一章 准火影级操作: https://www.xbiquge.bz/book/51654/35915553.html
第六百三十二章 你们是来搞我的？: https://www.xbiquge.bz/book/51654/35920329.html
第六百三十三章 你峰哥是那种人？: https://www.xbiquge.bz/book/51654/35926112.html
第六百三十四章 读书人，永不空大: https://www.xbiquge.bz/book/51654/35926116.html
第六百三十五章 黑暗中的刺客最可怕: https://www.xbiquge.bz/book/51654/35929758.html
第六百三十六章 节奏由我不由天: https://www.xbiquge.bz/book/51654/35929759.html
第六百三十七章 到底是谁绕后了谁？: https://www.xbiquge.bz/book/51654/35942101.html
第六百三十八章 胜利存乎暗影之中: https://www.xbiquge.bz/book/51654/35942102.html
第六百三十九章 春夏连冠，唯我KG！（上）: https://www.xbiquge.bz/book/51654/35950593.html
第六百四十章 春夏连冠，唯我KG！（下）: https://www.xbiquge.bz/book/51654/35950594.html
第六百四十一章 剑指S赛！（日常）: https://www.xbiquge.bz/book/51654/35955602.html
第六百四十二章 为什么要逼我装杯？（日常）6300: https://www.xbiquge.bz/book/51654/35959283.html
第六百四十三章 我有个朋友想康康 （日常）4300: https://www.xbiquge.bz/book/51654/35963042.html
第六百四十四章 你看我几分像从前: https://www.xbiquge.bz/book/51654/35966583.html
第六百四十五章 峰哥，给个机会: https://www.xbiquge.bz/book/51654/35971279.html
第六百四十六章 有人是吧？: https://www.xbiquge.bz/book/51654/35971281.html
第六百四十七章 自己人别开枪！（4200）: https://www.xbiquge.bz/book/51654/35976546.html
第六百四十八章 到底谁才是正版？（4200）: https://www.xbiquge.bz/book/51654/35981270.html
第六百四十九章 请问KG还招人吗？（4600）: https://www.xbiquge.bz/book/51654/35989517.html
第六百五十章 峰哥不睡我不睡: https://www.xbiquge.bz/book/51654/35993563.html
第六百五十一章 真.登峰造极境！（日常）4500: https://www.xbiquge.bz/book/51654/35997250.html
第六百五十二章 LPL最后的“遮羞布”？（4800）: https://www.xbiquge.bz/book/51654/36001514.html
第六百五十三章 电竞“慕容复”？（4100）: https://www.xbiquge.bz/book/51654/36005528.html
第六百五十四章 打比赛还能说杀就杀？（4400）: https://www.xbiquge.bz/book/51654/36009131.html
第六百五十五章 谁说只有我拉胯？（4200）: https://www.xbiquge.bz/book/51654/36012104.html
第六百五十六章 一人，即是军团！（4600）: https://www.xbiquge.bz/book/51654/36017159.html
第六百五十七章 小老弟，你很会嘛: https://www.xbiquge.bz/book/51654/36020763.html
第六百五十八章 李相赫，你已经输了！（4600）: https://www.xbiquge.bz/book/51654/36027810.html
第六百五十九章 峰哥在极度愤怒的情况下 ...（5400）: https://www.xbiquge.bz/book/51654/36032169.html
第六百六十章 世界五大悖论！（4700）: https://www.xbiquge.bz/book/51654/36037206.html
第六百六十一章 峰哥永远是我大哥（4500）: https://www.xbiquge.bz/book/51654/36040635.html
第六百六十一章 温柔吗？半条命换的: https://www.xbiquge.bz/book/51654/36045011.html
第六百六十二章 峡谷有善滑铲者: https://www.xbiquge.bz/book/51654/36045012.html
第六百六十三章 你说的这个朋友...: https://www.xbiquge.bz/book/51654/36047534.html
第六百六十四章 我们真的没那么强 （4400）: https://www.xbiquge.bz/book/51654/36051880.html
第六百六十五章 八强揭幕战！（4300）: https://www.xbiquge.bz/book/51654/36056873.html
第六百六十六章 相赫啊，你可别给爷再拉跨了！（4800）: https://www.xbiquge.bz/book/51654/36061171.html
第六百六十七章 爱情？不过成王败寇罢了（4200）: https://www.xbiquge.bz/book/51654/36064046.html
第六百六十八章 岳伦：一切皆因我而起: https://www.xbiquge.bz/book/51654/36067932.html
第六百六十九章 峰哥躺好不要动！（5300）: https://www.xbiquge.bz/book/51654/36072047.html
第六百七十章 KG异地登录，J2正在连接！: https://www.xbiquge.bz/book/51654/36076338.html
第六百七十一章 滑铲妹: https://www.xbiquge.bz/book/51654/36079790.html
第六百七十二章 能力越大，责任越大！: https://www.xbiquge.bz/book/51654/36083627.html
第六百七十三章 心态决定阈值？: https://www.xbiquge.bz/book/51654/36086902.html
第六百七十四章 生而为爷，我很抱歉: https://www.xbiquge.bz/book/51654/36086903.html
第六百七十五章 你知道我这三年是怎么过的吗？（4300）: https://www.xbiquge.bz/book/51654/36090399.html
第六百七十六章 巅峰时刻谁都有 （4200）: https://www.xbiquge.bz/book/51654/36093254.html
第六百七十七章 峰哥尚能饭否？: https://www.xbiquge.bz/book/51654/36097597.html
第六百七十八章 把塔给杀了！（第一更）: https://www.xbiquge.bz/book/51654/36101677.html
第六百七十九章 世界名画双劫秀？（第二更）: https://www.xbiquge.bz/book/51654/36101678.html
第六百八十章 你在秀尼玛呢 （第三更）: https://www.xbiquge.bz/book/51654/36101679.html
第六百八十一章 谢谢你，男人 （4200）: https://www.xbiquge.bz/book/51654/36105834.html
第六百八十二章 半决赛丶avi（4300）: https://www.xbiquge.bz/book/51654/36111978.html
第六百八十三章 天下无敌的KT: https://www.xbiquge.bz/book/51654/36115052.html
第六百八十四章 这就很峰哥了（4600）: https://www.xbiquge.bz/book/51654/36118985.html
第六百八十五章 来世界赛前，我是KG的 （4300）: https://www.xbiquge.bz/book/51654/36122314.html
第六百八十六章 这个上单有问题 （4400）: https://www.xbiquge.bz/book/51654/36125438.html
第六百八十七章 不是KT不行: https://www.xbiquge.bz/book/51654/36128457.html
第六百八十八章 跪下，叫爸爸！: https://www.xbiquge.bz/book/51654/36131593.html
第六百八十九章 觉醒之龙: https://www.xbiquge.bz/book/51654/36146149.html
第六百九十章 峰哥，在？: https://www.xbiquge.bz/book/51654/36149447.html
第六百九十一章 看我操作就行了 （5400）: https://www.xbiquge.bz/book/51654/36152820.html
第六百九十二章 不是吧阿Sir！: https://www.xbiquge.bz/book/51654/36155966.html
第六百九十三章 你在教我做事咩？: https://www.xbiquge.bz/book/51654/36159135.html
第六百九十四章 小峰一剑流: https://www.xbiquge.bz/book/51654/36162429.html
第六百九十五章 奖励队友一把卢仙: https://www.xbiquge.bz/book/51654/36166329.html
第六百九十六章 你为什么这么熟练啊！（4400）: https://www.xbiquge.bz/book/51654/36183069.html
第六百九十七章 我的操作平平无奇 （4400）: https://www.xbiquge.bz/book/51654/36186302.html
第六百九十八章 玩德莱文也要写申请书？: https://www.xbiquge.bz/book/51654/36190062.html
第六百九十九章 没错，我上当了！: https://www.xbiquge.bz/book/51654/36194410.html
第七百章 没有人比我更懂发育: https://www.xbiquge.bz/book/51654/36194411.html
第七百零一章 赢者通杀，败者食尘: https://www.xbiquge.bz/book/51654/36197204.html
第七百零二章 你是我眼中的日月星辰: https://www.xbiquge.bz/book/51654/36197205.html
第七百零三章 白鸽不会亲吻乌鸦: https://www.xbiquge.bz/book/51654/36200280.html
第七百零四章 玩妖姬的人是不是要比玩劫的温柔？: https://www.xbiquge.bz/book/51654/36203395.html
第七百零五章 我，真的赢了吗？: https://www.xbiquge.bz/book/51654/36203396.html
第七百零六章 S7全球总决赛！（4600）: https://www.xbiquge.bz/book/51654/36206586.html
第七百零七章 什么是国际队伍啊？: https://www.xbiquge.bz/book/51654/36209675.html
第七百零八章 石乐志的峰哥: https://www.xbiquge.bz/book/51654/36209676.html
第七百零九章 直钩钓鱼 （4300）: https://www.xbiquge.bz/book/51654/36215172.html
第七百一十章 大气层外的操作 （4500）: https://www.xbiquge.bz/book/51654/36220119.html
第七百一十一章 可怕，实在是可怕！: https://www.xbiquge.bz/book/51654/36226731.html
第七百一十二章 KG的一代目和二代目: https://www.xbiquge.bz/book/51654/36226732.html
第七百一十三章 混乱，极度的混乱！: https://www.xbiquge.bz/book/51654/36230802.html
第七百一十四章 就感觉一直活在他的影子里: https://www.xbiquge.bz/book/51654/36230803.html
第七百一十五章 啊这...也能空大？（4300）: https://www.xbiquge.bz/book/51654/36234136.html
第七百一十六章 谁养爹，谁负责: https://www.xbiquge.bz/book/51654/36236804.html
第七百一十七章 大声告诉我，谁才是永远滴神！: https://www.xbiquge.bz/book/51654/36243930.html
第七百一十八章 摧“峰”于正锐！（上）: https://www.xbiquge.bz/book/51654/36247228.html
第七百一十九章 摧“峰”于正锐！（下）: https://www.xbiquge.bz/book/51654/36247229.html
第七百二十章 峰哥别这样（4300）: https://www.xbiquge.bz/book/51654/36250466.html
第七百二十一章 表锅好厉害！: https://www.xbiquge.bz/book/51654/36253113.html
第七百二十二章 照打不误！: https://www.xbiquge.bz/book/51654/36253114.html
第七百二十三章 老折磨王了: https://www.xbiquge.bz/book/51654/36256750.html
第七百二十四章 全踏马赖德莱文！（4300）: https://www.xbiquge.bz/book/51654/36259252.html
第七百二十五章 老倒霉蛋了: https://www.xbiquge.bz/book/51654/36262587.html
第七百二十六章 峰哥好兄弟！: https://www.xbiquge.bz/book/51654/36269447.html
第七百二十七章 永动机的神！: https://www.xbiquge.bz/book/51654/36269448.html
第七百二十八章 让我们来康康是谁: https://www.xbiquge.bz/book/51654/36275943.html
第七百二十九章 挟泰山以压顶！: https://www.xbiquge.bz/book/51654/36275944.html
第七百三十章 回到噩梦之初？（4200）: https://www.xbiquge.bz/book/51654/36283722.html
第七百三十一章 你再骂！（4200）: https://www.xbiquge.bz/book/51654/36287035.html
第七百三十二章 小花生的觉醒？: https://www.xbiquge.bz/book/51654/36305929.html
第七百三十三章 我们都有光明的前途？: https://www.xbiquge.bz/book/51654/36305930.html
第七百三十四章 “废物”利用？: https://www.xbiquge.bz/book/51654/36309492.html
第七百三十五章 全员狠人！（4500）: https://www.xbiquge.bz/book/51654/36322464.html
第七百三十六章 端起杯子喝水，放下水杯...: https://www.xbiquge.bz/book/51654/36325819.html
第七百三十七章 谁是弟中弟？（双倍求月票）: https://www.xbiquge.bz/book/51654/36329144.html
第七百三十八章 噫！我中了？！（双倍求月票）: https://www.xbiquge.bz/book/51654/36329145.html
第七百三十九章 一刀劈开冠军路！（双倍求月票）: https://www.xbiquge.bz/book/51654/36333800.html
第七百四十章 七年一冠！（双倍求月票）: https://www.xbiquge.bz/book/51654/36338790.html
第七百四十一章 大时代的序幕 （双倍求月票）: https://www.xbiquge.bz/book/51654/36338791.html
第七百四十二章 峰哥你开价 （双倍求月票）: https://www.xbiquge.bz/book/51654/36342261.html
第七百四十三章 介猴卖吗？（双倍求月票）: https://www.xbiquge.bz/book/51654/36347928.html
第七百四十四章 他来了！（双倍求月票）: https://www.xbiquge.bz/book/51654/36352788.html
第七百四十五章 什么叫顶流巨手啊？（双倍求月票）: https://www.xbiquge.bz/book/51654/36352789.html
第七百四十六章 强啊峰哥！: https://www.xbiquge.bz/book/51654/36355832.html
第七百四十七章 真正的钢琴手: https://www.xbiquge.bz/book/51654/36359478.html
第七百四十八章 峰哥这块必须拿下！: https://www.xbiquge.bz/book/51654/36362840.html
第七百四十九章 李总？: https://www.xbiquge.bz/book/51654/36365401.html
第七百五十章 LPL的梦之队？: https://www.xbiquge.bz/book/51654/36365402.html
第七百五十一章 活捉任务: https://www.xbiquge.bz/book/51654/36370986.html
第七百五十二章 打没了一个赛区？: https://www.xbiquge.bz/book/51654/36370987.html
第七百五十三章 全明星小组赛落幕: https://www.xbiquge.bz/book/51654/36374642.html
第七百五十四章 坏女人给爷死！: https://www.xbiquge.bz/book/51654/36377559.html
第七百五十五章 我也会在这个舞台上证明谁才是...: https://www.xbiquge.bz/book/51654/36383832.html
第七百五十六 莎士比亚赛区: https://www.xbiquge.bz/book/51654/36387864.html
第七百五十七章 他可以，我也可以！: https://www.xbiquge.bz/book/51654/36387865.html
第七百五十八章 在线等，急: https://www.xbiquge.bz/book/51654/36390567.html
第七百五十九章 弯道超车？: https://www.xbiquge.bz/book/51654/36394302.html
第七百六十章 这踏马才是艺术啊！: https://www.xbiquge.bz/book/51654/36394303.html
第七百六十一章 反方向的狙！: https://www.xbiquge.bz/book/51654/36397344.html
第七百六十二章 玩花活，树新风，LPL带头冲！: https://www.xbiquge.bz/book/51654/36400669.html
第七百六十三章 猪真撞树上了？: https://www.xbiquge.bz/book/51654/36425422.html
第七百六十四章 现学现卖: https://www.xbiquge.bz/book/51654/36428451.html
第七百六十五章 小开不算开: https://www.xbiquge.bz/book/51654/36428452.html
第七百六十六章 完美复刻（×）: https://www.xbiquge.bz/book/51654/36431631.html
第七百六十七章 请问这是美食节目吗？: https://www.xbiquge.bz/book/51654/36434596.html
第七百六十八章 为什么说是七分钟呢？: https://www.xbiquge.bz/book/51654/36437455.html
第七百六十九章 我真不是峡谷导演啊！: https://www.xbiquge.bz/book/51654/36440291.html
第七百七十章 所以...还是到了这一步吗？: https://www.xbiquge.bz/book/51654/36442817.html
第七百七十一章 我其实也还好 （月末求月票）: https://www.xbiquge.bz/book/51654/36445647.html
第七百七十二章 K哥与冠军皮肤: https://www.xbiquge.bz/book/51654/36448607.html
第七百七十三章 回KG就像回家一样: https://www.xbiquge.bz/book/51654/36452149.html
第七百七十四章 我们都有光明的未来: https://www.xbiquge.bz/book/51654/36455827.html
第七百七十五章 全场欢呼！: https://www.xbiquge.bz/book/51654/36459471.html
第七百七十六章 南拳北腿: https://www.xbiquge.bz/book/51654/36466122.html
第七百七十七章 一个上单要走多远的路才能...: https://www.xbiquge.bz/book/51654/36466123.html
第七百七十八章 腕豪带丛刃: https://www.xbiquge.bz/book/51654/36475392.html
第七百七十九章 教练，我悟了！（月初求月票）: https://www.xbiquge.bz/book/51654/36478756.html
第七百八十章 峰哥不在K哥在！（求月票）: https://www.xbiquge.bz/book/51654/36481265.html
第七百八十一章 都是手艺人啊！: https://www.xbiquge.bz/book/51654/36483974.html
第七百八十二章 不过是峰哥的任务罢了: https://www.xbiquge.bz/book/51654/36486884.html
第七百八十三章 难道K哥又要凯瑞了？: https://www.xbiquge.bz/book/51654/36489973.html
第七百八十四章 你峰哥还是你峰哥！: https://www.xbiquge.bz/book/51654/36492875.html
第七百八十五章 我与峰狗不共戴天！: https://www.xbiquge.bz/book/51654/36495492.html
第七百八十六章 你一定没女朋友吧？: https://www.xbiquge.bz/book/51654/36498609.html
第七百八十七章 他就是个BUG啊！: https://www.xbiquge.bz/book/51654/36501203.html
第七百八十八章 峰哥不睡我不睡！: https://www.xbiquge.bz/book/51654/36503815.html
第七百八十九章 凡尔赛小王子: https://www.xbiquge.bz/book/51654/36506238.html
第七百九十章 谁还不是个老同志？: https://www.xbiquge.bz/book/51654/36509271.html
第七百九十一章 刻进DNA里的意识！: https://www.xbiquge.bz/book/51654/36511717.html
第七百九十二章 峰哥的绝活？: https://www.xbiquge.bz/book/51654/36515611.html
第七百九十三章 这可不是乱打的啊！: https://www.xbiquge.bz/book/51654/36521214.html
第七百九十四章 魑魅魍魉哪里走！: https://www.xbiquge.bz/book/51654/36524228.html
第七百九十五章 还有这种好事？: https://www.xbiquge.bz/book/51654/36527002.html
第七百九十六章 这个上单有点怪！: https://www.xbiquge.bz/book/51654/36529952.html
第七百九十七章 辅助峰哥是一种...: https://www.xbiquge.bz/book/51654/36530483.html
第七百九十八章 你说的这个技术，他好吗？: https://www.xbiquge.bz/book/51654/40671710.html
第七百九十九章 猪！都TM是猪！: https://www.xbiquge.bz/book/51654/40671711.html
第八百章 峰哥“霸凌”事件: https://www.xbiquge.bz/book/51654/40671712.html
第八百零一章 KG的一天: https://www.xbiquge.bz/book/51654/40671713.html
第八百零二章 我每样都懂一点点: https://www.xbiquge.bz/book/51654/40671714.html
第八百零三章 峰哥儿你阔佬！: https://www.xbiquge.bz/book/51654/40671715.html
第八百零四章 哥，咱家又有钱啦: https://www.xbiquge.bz/book/51654/40671716.html
第八百零五章 剑，最要远离的就是感情: https://www.xbiquge.bz/book/51654/40671717.html
第八百零六章 女人，恐怖如斯！（万分感谢“努力起床的污妖王”的5W赏）: https://www.xbiquge.bz/book/51654/40671718.html
第八百零七章 LPL忍界大战，屠狗少年终成...（月初求保底月票）: https://www.xbiquge.bz/book/51654/40671719.html
第八百零八章 你怎么不补刀啊？: https://www.xbiquge.bz/book/51654/40671720.html
第八百零九章 这合理吗？: https://www.xbiquge.bz/book/51654/40671721.html
第八百一十章 人力所不能及？: https://www.xbiquge.bz/book/51654/40671722.html
第八百一十一章 假的！都是假的！: https://www.xbiquge.bz/book/51654/40671723.html
第八百一十二章 这就是你们的AD现状？: https://www.xbiquge.bz/book/51654/40671724.html
第八百一十三章 峰老师，别这样！: https://www.xbiquge.bz/book/51654/40671725.html
第八百一十四章 稳健的意大利炮: https://www.xbiquge.bz/book/51654/40671726.html
第八百一十五章 看爷的飞天连斩！: https://www.xbiquge.bz/book/51654/40671727.html
第八百一十六章 K王之王！: https://www.xbiquge.bz/book/51654/40671728.html
第八百一十七章 MSI季中赛取消了？: https://www.xbiquge.bz/book/51654/40671729.html
第八百一十八章 LPL春季总决赛！: https://www.xbiquge.bz/book/51654/40671730.html
第八百一十九章 华夏代表队出征！: https://www.xbiquge.bz/book/51654/40671731.html
第八百二十章 这是何等样的对手啊？！: https://www.xbiquge.bz/book/51654/40671732.html
第八百二十一章 帝国の不死鸟VS京都の雄狮！: https://www.xbiquge.bz/book/51654/40671733.html
第八百二十二章 叫打野有用吗？: https://www.xbiquge.bz/book/51654/40671734.html
第八百二十三章 不下峰哥当年之勇！: https://www.xbiquge.bz/book/51654/40671735.html
第八百二十四章 KG-Massage已上线: https://www.xbiquge.bz/book/51654/40671736.html
第八百二十五章 家乡的Sakura开了: https://www.xbiquge.bz/book/51654/40671737.html
第八百二十六章 玩上单的手速都那么快吗？: https://www.xbiquge.bz/book/51654/40671738.html
第八百二十七章 一年更比一年强？: https://www.xbiquge.bz/book/51654/40671739.html
第八百二十八章 后峰哥时代: https://www.xbiquge.bz/book/51654/40671740.html
第八百二十九章 峡谷魔术师: https://www.xbiquge.bz/book/51654/40671741.html
第八百三十章 仁义无双我峰哥！: https://www.xbiquge.bz/book/51654/40671742.html
第八百三十一章 待到血花烂漫时: https://www.xbiquge.bz/book/51654/40671743.html
第八百三十二章 王权的交替之战？: https://www.xbiquge.bz/book/51654/40671744.html
第八百三十三章 我的强大不是天生的: https://www.xbiquge.bz/book/51654/40671745.html
第八百三十四章 峰老师的境界: https://www.xbiquge.bz/book/51654/40671746.html
第八百三十五章 名字里带秀的都不简单: https://www.xbiquge.bz/book/51654/40671747.html
第八百三十六章 介猴真吗？: https://www.xbiquge.bz/book/51654/40671748.html
第八百三十七章 那就给他一堵墙: https://www.xbiquge.bz/book/51654/40671749.html
第八百三十八章 S冠种子队？（1/4）: https://www.xbiquge.bz/book/51654/40671750.html
第百三十九章 穿甲猴王！（2/4）: https://www.xbiquge.bz/book/51654/40671751.html
第八百四十章 我上当了？（3/4）: https://www.xbiquge.bz/book/51654/40671752.html
第八百四十一章 金猴奋起千钧棒！（第四更求月票）: https://www.xbiquge.bz/book/51654/40671753.html
第八百四十二章 你被猴杀过 （双倍求月票）: https://www.xbiquge.bz/book/51654/40671754.html
第八百四十三章 等我出点肉: https://www.xbiquge.bz/book/51654/40671755.html
第八百四十四章 什么叫国际巨猴啊？（双倍月票球球了）: https://www.xbiquge.bz/book/51654/40671756.html
第八百四十五章 你也被猴杀过: https://www.xbiquge.bz/book/51654/40671757.html
第八百四十六章 舞一曲死亡莲华: https://www.xbiquge.bz/book/51654/40671758.html
第八百四十七章 人和人的纯度不能一概而论 （双倍求月票）: https://www.xbiquge.bz/book/51654/40671759.html
第八百四十八章 没有人比我更懂发育？: https://www.xbiquge.bz/book/51654/40671760.html
第八百四十九章 烈火卷莲华！: https://www.xbiquge.bz/book/51654/40671761.html
第八百五十章 小心船长: https://www.xbiquge.bz/book/51654/40671762.html
第八百五十一章 咋回事啊小老弟？: https://www.xbiquge.bz/book/51654/40671763.html
第八百五十二章 真是有够别致呢！: https://www.xbiquge.bz/book/51654/40671764.html
第八百五十三章 我还差得远哩: https://www.xbiquge.bz/book/51654/40671765.html
第八百五十四章 有考虑过和蝙蝠侠对线吗？: https://www.xbiquge.bz/book/51654/40671766.html
第八百五十五章 重铸LCK荣光的正确打开方式！: https://www.xbiquge.bz/book/51654/40671767.html
第八百五十六章 牛宝的小目标: https://www.xbiquge.bz/book/51654/40671768.html
第八百五十七章 峰老师这也能教学？: https://www.xbiquge.bz/book/51654/40671769.html
第八百五十八章 高富帅的资本！: https://www.xbiquge.bz/book/51654/40671770.html
第八百五十九章 听说过火甲杰斯吗？: https://www.xbiquge.bz/book/51654/40671771.html
第八百六十章 这一日，K哥再入...: https://www.xbiquge.bz/book/51654/40671772.html
第八百六十一章 我哪懂什么指挥？: https://www.xbiquge.bz/book/51654/40671773.html
第八百六十二章 请问这里是仁川图书馆吗？: https://www.xbiquge.bz/book/51654/40671774.html
第八百六十三章 有才无德说的就是你吧？: https://www.xbiquge.bz/book/51654/40671775.html
第八百六十四章 候鸟归途（日常）: https://www.xbiquge.bz/book/51654/40671776.html
第八百六十五章 万物起源峰老师: https://www.xbiquge.bz/book/51654/40671777.html
第八百六十六章 断剑重铸: https://www.xbiquge.bz/book/51654/40671778.html
第八百六十七章 峰哥给大伙讲讲第一个王者的故事...: https://www.xbiquge.bz/book/51654/40671779.html
第八百六十八章 小峰还乡 （日常）: https://www.xbiquge.bz/book/51654/40671780.html
第八百六十九章 我真不是带明星 （日常）: https://www.xbiquge.bz/book/51654/40671781.html
第八百七十章 LPL的地震！: https://www.xbiquge.bz/book/51654/40671782.html
第八百七十一章 这个哥哥我曾见过的（日常）: https://www.xbiquge.bz/book/51654/40671783.html
第八百七十二章 体面和冠军: https://www.xbiquge.bz/book/51654/40671784.html
第八百七十三章 断线重连，异地登录？: https://www.xbiquge.bz/book/51654/40671785.html
第八百七十四章 始料未及: https://www.xbiquge.bz/book/51654/40671786.html
第八百七十五章 身体，终究是变成了你的形状: https://www.xbiquge.bz/book/51654/40671787.html
第八百七十六章 LPL第一峰吹: https://www.xbiquge.bz/book/51654/40671788.html
第八百七十七章 谁才是真正的御风者？！: https://www.xbiquge.bz/book/51654/40671789.html
第八百七十八章 煮豆燃豆萁: https://www.xbiquge.bz/book/51654/40671790.html
第八百七十九章 谁才是真正的粉丝: https://www.xbiquge.bz/book/51654/40671791.html
第八百八十章 风中的那一把刀: https://www.xbiquge.bz/book/51654/40671792.html
第八百八十一章 联盟教科书: https://www.xbiquge.bz/book/51654/40671793.html
第八百八十二章 二刀流.天外飞仙！: https://www.xbiquge.bz/book/51654/40671795.html
第八百八十三章 你渴望力量吗？: https://www.xbiquge.bz/book/51654/40671796.html
第八百八十四章 而它，是解药: https://www.xbiquge.bz/book/51654/40671797.html
第八百八十五章 你把你申请书给我交咯！: https://www.xbiquge.bz/book/51654/40671798.html
第八百八十六章 我的峰哥不可能这么稳健: https://www.xbiquge.bz/book/51654/40671799.html
第八百八十七章 老兵不死！: https://www.xbiquge.bz/book/51654/40671800.html
